number,substituent,σm,σp,F,R,References
133,Me,-0.07,-0.17,0.01,-0.18,183
134,CH_2_SO_2_R,0.15,0.17,0.16,0.01,170
135,SiMeCl_2,0.31,0.39,0.29,0.10,74
136,SiMeF_2,0.29,0.23,0.32,-0.09,74
137,HgMe,0.43,0.10,(0.55),(-0.45),164
138,NHCH_2_SO_3,-0.10,-0.57,0.12,-0.69,89
139,NHCONH_2,-0.03,-0.24,0.09,-0.33,156
140,N(Me)NO_2,0.49,0.61,0.43,0.18,112
141,NHCSNH_2,0.22,0.16,0.26,-0.10,158
142,OMe,0.12,-0.27,0.29,-0.56,183
143,CH_2_OH,0.00,0.00,0.03,-0.03,133
144,SOMe,0.52,0.49,0.52,-0!03,183
145,S(OMe),0.21,0.17,0.24,-0.07,74
146,OS(=O)CH_3,0.44,0.45,0.43,0.02,74
147,S(O)OMe,0.50,0.54,0.47,0.07,74
148,SO_2_Me,0.60,0.72,0.53,0.19,183
149,SSO_2_Me,0.43,0.54,0.38,0.16,74
150,OSO_2_Me,0.39,0.36,0.40,-0.04,156
151,Sme,0.15,0.00,0.23,-0.23,183
152,SSMe,0.22,0.13,0.27,-0.14,74
153,SeMe,0.10,0.00,0.16,-0.16,183
154,NHMe,-0.21,-0.70,0.03,-0.73,164
155,CH_2_NH_2,-0.03,-0.11,0.04,-0.15,74
156,NHSO_2_Me,0.20,0.03,0.28,-0.25,156
157,CH_2_NH_3+,0.59,0.53,0.59,-0.06,88
158,N(COF)_2,0.58,0.57,0.57,0.00,109
159,HgOCOCF_3,0.50,0.52,0.48,0.04,74
160,COCF_3,0.63,0.80,0.54,0.26,110
161,SCOCF_3,0.48,0.46,0.48,-0.02,74
162,OCOCF_3,0.56,0.46,0.58,-0.12,74
163,N(CF_3)C=O(F),0.50,0.50,0.49,0.01,109
164,CF_2_OCF_2-,0.81,0.81,0.77,0.04,153
165,CF_2_CF_3,0.47,0.52,0.44,0.08,172
166,OCF_2_CF_3,0.48,0.28,0.55,-0.27,74
167,SO_2_CF_2CF_3,0.92,1.08,0.81,0.27,76
168,SCF_2_CF_3,0.44,0.48,0.42,0.06,76
169,N(CF_3)_2,0.40,0.53,(0.35),0.18,145
170,S(CF_3)=NSO_2_CF_3,1.18,1.28,1.07,0.21,62
171,SO(CF_3)=NSO_2_CD_3,1.23,1.40,1.09,0.31,62
172,N(SO_2_CF_3)_2,0.61,0.83,0.50,0.33,103
173,P(CF_3)_2,0.60,0.69,0.55,0.14,109
174,P(CN)_2,0.82,0.90,0.75,0.15,74
175,C///CH,0.21,0.23,0.22,0.01,171
176,OCF_2_CHFCl,0.35,0.28,0.38,-0.10,146
177,NHCOCF_3,0.30,0.12,0.38,-0.26,156
178,CH=NSO_2_CF_3,0.76,1.00,0.63,0.37,63
179,OCF_2_CHF_2,0.34,0.25,0.38,-0.13,178
180,SCF_2_CHF_2,0.38,0.47,0.35,0.12,178
181,,0.63,0.64,0.60,0.04,165
182,SC///CH,0.26,0.19,0.30,-0.11,74
183,SCH=CHCl,0.31,0.24,0.34,-0.10,105
184,SeCH=CHCl,0.28,0.26,0.30,-0.04,105
185,CH_2_CF_3,0.12,0.09,0.15,-0.06,109
186,CH_2_SOCF_3,0.25,0.24,0.27,-0.03,162
187,CH_2_SO_2_CF_3,0.29,0.31,0.29,0.02,162
188,CH_2_SCF_3,0.12,0.15,0.13,0.02,162
189,CH_2_CN,0.16,0.18,0.17,0.01,170
190,CH=CHNO_2-t,0.32,0.26,0.35,(-0.09),184
191,CH_2_CO_2-,0.07,-0.16,0.19,-0.35,88
192,CH_2SCN,0.12,0.14,0.14,0.00,74
193,CH=CH_2,0.06,-0.04,0.13,-0.17,85
194,NHCOCH_2_Cl,0.17,-0.03,0.27,-0.30,156
195,N(Me)SO_2_CF_3,0.46,0.44,0.46,-0.02,74
196,HgOCOCH_3,0.39,0.40,0.39,0.01,74
197,C(Me)(NO_2)_2,0.54,0.61,0.50,0.11,74
198,oxiranyl,0.05,0.03,0.09,-0.06,74
199,OCH=CH_2,0.21,-0.09,0.34,-0.43,96
200,COMe,0.38,0.50,0.33,0.17,183
201,SCOMe,0.39,0.44,0.37,0.07,183
202,OCOMe,0.39,0.31,0.42,-0.11,183
203,COOMe,0.37,0.45,0.34,0.11,175
204,2-thiacyclopropyl,0.04,0.01,0.08,-0.07,74
205,SCH=CH_2,0.26,0.20,0.29,-0.09,"99, 105"
206,SeCH=CH_2,0.26,0.21,0.29,-0.08,105
207,1-azirdinyl,-0.07,-0.22,0.03,-0.25,74
208,2-azirdinyl,-0.06,-0.10,-0.01,-0.09,74
209,N-methyl-3-oxaziridinyl,0.09,0.12,0.10,0.02,74
210,NHCOOMe,-0.02,-0.17,0.07,-0.24,68
211,NHCOMe,0.21,0.00,0.31,9.31,183
212,CONHMe,0.35,0.36,0.35,-0.01,154
213,CH=NOMe,0.37,0.30,0.40,0.10,93
214,CH_2_CONH_2,0.06,0.07,0.08,-0.01,74
215,NHCSMe,0.24,0.12,0.30,-0.18,154
216,CSNHMe,0.30,0.34,0.29,0.05,154
217,CH=NNHCSNH_2,0.45,0.40,0.46,-0.06,93
218,OCH_2_CH_2_O-,-0.12,-0.12,-0.08,-0.04,74
219,Et,-0.07,-0.15,0.00,-0.15,183
220,CH=NNHCONHNH_2,0.22,0.16,0.26,-0.10,93
221,OCH_2_CH_3,0.10,-0.24,0.26,-0.50,183
222,CH(OH)Me,0.08,-0.07,0.16,4 . 2 3,74
223,CH_2_OMe,0.08,0.01,0.13,-0.12,85
224,SO_2_Et,0.66,0.77,0.59,0.18,74
225,SEt,0.18,0.03,0.26,4 . 2 3,"174, 183"
226,P(Cl)NMe_2,0.38,0.56,0.31,0.25,164
227,CH_2_SC(NH_2)_2+,0.13,0.15,0.14,0.01,128
228,SiClMe_2,0.16,0.21,0.16,0.05,74
229,SiFMe_2,0.12,0.17,0.12,0.04,74
230,NHEt,-0.24,-0.61,-0.04,-0.57,"87,187"
231,N(Me)_2,-0.16,-0.83,0.15,-0.98,"185, 183"
232,N(Me)SO_2_Me,0.21,0.24,0.21,0.03,"81,74"
233,SO_2_NMe_2,0.51,0.65,0.44,0.21,74
234,N(SO_2Me)_2,0.47,0.49,0.45,0.04,74
235,SN(Me)_2,0.12,0.09,0.15,-0.06,74
236,N=NNMe_2,-0.05,-0.03,-0.02,-0.01,72
237,N(Me)N+=(Me)N-,1.17,1.17,1.10,0.07,116
238,P(O)Me_2,0.43,0.50,0.40,0.10,74
239,PO(OMe)_2,0.42,0.53,0.37,0.16,152
240,PMe_2,0.03,0.06,0.05,0.01,69
241,S+Me_2,1.00,0.90,0.98,-0.08,183
242,S+(Me)_2_tosyl,1.06,0.96,1.04,-0.08,88
243,CH_2_CH_2_NH_3+,0.23,0.17,0.27,-0.10,74
244,SiH(Me)_2,0.01,0.04,0.03,0.01,74
245,"1-(1,7(BH)_10-C_2_H)",0.25,0.33,0.23,0.10,147
246,"2-(1,7(BH)_10-C_2_H)",0.14,0.15,0.16,-0.01,117
247,"4-(1,7(BH)_10-C_2_H)",-0.02,0.02,0.00,0.02,80
248,"1-(1,2(BH)_10-C_2_H)",0.49,0.43,0.50,-0.07,147
249,"3-(1,2(BH)_10-C_2_H)",0.20,0.19,0.22,-0.03,147
250,C///CCF_3,0.41,0.51,0.37,0.14,163
251,CF=CFCF_3-t,0.39,0.46,0.36,0.10,109
252,N=C(CF_3)_2,0.29,0.23,0.32,-0.09,109
253,CF_2_CF_2_CF_3,0.44,0.48,0.42,0.06,85
254,CF(CF_3)_2,0.37,0.53,(0.31),0.22,172
255,SO_2_CF_2_CF_2_CF_3,0.92,1.09,0.81,0.28,76
256,SO_2_CF(CF_3)_2,0.92,1.10,0.80,0.30,76
257,SCF_2_CF_2_CF_3,0.45,0.48,0.43,0.05,76
258,SCF(CF_3)_2,0.48,0.51,0.46,0.03,76
259,TeCF_2_CF_2_CF_3,0.46,0.48,0.45,0.03,76
260,C(OH)(CF_3)_2,0.29,0.30,0.29,0.01,172
261,CH(SCF_3)_2,0.44,0.44,0.43,0.01,74
262,CH(CN)_2,0.53,0.52,0.52,0.00,74
263,CH=CHCF_3-c,0.16,0.17,0.18,0.01,165
264,CH=CHCF_3-t,0.24,0.27,0.24,0.03,165
265,CH=CHSO_2_CF_3,0.31,0.55,0.22,0.33,74
266,CH=CHCN,0.24,0.17,0.28,-0.11,155
267,C///Cme,0.21,0.03,0.29,-0.26,85
268,N(Me)COCF_3,0.41,0.39,0.41,-0.02,74
269,CH=CHCHO,0.24,0.13,0.29,-0.16,155
270,cyclopropyl,-0.07,-0.21,0.02,-0.23,177
271,C(Me)=CH_2,0.09,0.05,0.13,-0.08,85
272,CH=CHMe-t,0.02,-0.09,0.09,-0.18,85
273,CH_2_CH=CH_2,-0.11,-0.14,-0.06,-0.08,74
274,C(Et)(NO_2)_2,0.56,0.64,0.51,0.13,74
275,OCH_2_CH=CH_2,0.09,-0.25,0.25,-0.50,105
276,COEt,0.38,0.48,0.34,0.14,74
277,COOEt,0.37,0.45,0.34,0.11,183
278,CH_2_OCOMe,0.04,0.05,0.07,-0.02,74
279,CH_2_CH_2_COOH,-0.03,-0.07,0.02,-0.09,188
280,SCH_2_CH=CH_2,0.19,0.12,0.23,-0.11,105
281,SeCH_2CH==CH_2,0.21,0.12,0.26,-0.14,105
282,CH_2_CH_2_CH_2-,-0.26,-0.26,-0.20,-0.06,87
283,N(Me)COMe,0.31,0.26,0.34,-0.08,74
284,CH_2_NHCOMe,0.05,-0.05,0.12,-0.17,85
285,NHCOOEt,0.11,-0.15,0.23,-0.38,"157, 156"
286,C(NO_2)Me_2,0.18,0.20,0.19,0.01,"74,190"
287,OCH_2_CH_2_CH_2O-,0.00,0.00,0.03,-0.03,74
288,isopropyl,-0.04,-0.15,0.04,-0.19,"85,183"
289,CH_2_CH_2_CH_3,-0.06,-0.13,0.01,-0.14,"85,87"
290,N+(Me)=CHN(Me)-,1.11,1.11,1.05,0.06,116
291,NHCONHEt,0.04,-0.26,0.19,-0.45,154
292,NHCSNHEt,0.30,0.07,0.40,-0.33,154
293,OCHMe_2,0.10,(-0.45),0.34,(-0.79),183
294,OCH_2CH_2CH_3,0.10,-0.25,0.26,-0.51,183
295,CH_2CH(OH)Me,-0.12,-0.17,-0.06,4.11,"74,102"
296,C(OOH)Me_2,0.06,-0.14,0.17,-0.31,92
297,SCHMe_2,0.23,0.07,0.30,-0.23,74
298,CH_2NMe_2,0.00,0.01,0.03,-0.02,74
299,GeMe_3,0.00,0.00,0.03,-0.03,74
300,N+(Me)_3,0.88,0.82,0.86,-0.04,183
301,CH_2_NH+(Me)_2,0.40,0.43,0.39,0.04,74
302,Si(Me)_2_OMe,0.04,-0.02,0.09,-0.11,74
303,OSiMe_3,0.13,-0.27,0.31,-0.58,74
304,SiMe(OMe)_2,0.04,0.10,0.05,0.05,74
305,Si(OMe)_3,0.09,0.13,0.10,0.03,74
306,P+Me_3,0.74,0.73,0.71,0.02,"123, 122"
307,SiMe_3,-0.04,-0.07,0.01,-0.08,183
308,SnMe_3,0.00,0.00,0.03,-0.03,"74, 183"
309,"1-(1,2-BH)_10_-C_2_Me)",0.50,0.65,0.43,0.22,111
310,"CH_2_-1-(1,7-(BH)_10_-C_2_H)",0.00,0.01,0.03,-0.02,67
311,"CH_2_-1-(1,2-(BH)_10_-C_2_H)",0.12,0.12,0.14,-0.02,67
312,"1-(1,2-BH)_10_-C_3_H_3_HgCH_3)",0.86,0.85,0.82,0.03,111
313,2-(hydroxymethyl)carboran-1-yl,0.38,0.49,0.34,0.15,111
314,I(OCOCF_3)_2,1.28,1.34,1.18,0.16,110
315,cyclo-C_4_F_7,0.48,0.53,0.45,0.08,109
316,COCF_2_CF_2_CF_3,0.63,0.79,0.55,0.24,110
317,C(CF_3)_3,0.55,0.55,0.53,0.02,76
318,(CF_2)_3CF_3,0.47,0.52,0.44,0.08,172
319,SO_2_C(CF_3)_3,0.96,1.13,0.84,0.29,76
320,SC(CF_3)_3,0.51,0.58,0.47,0.11,76
321,C(SCF_3)_3,0.51,0.53,0.49,0.04,74
322,SeC(CF_3)_3,0.49,0.54,0.46,0.08,76
323,C(CN)_3,0.97,0.96,0.92,0.04,165
324,cyclo-1-(OH)C_4_F_6,0.36,0.37,0.36,0.01,109
325,CH=C(CN)_2,0.66,0.84,0.57,0.27,93
326,2-(5-bromofuryl),0.15,0.00,0.23,-0.23,"94,95"
327,,0.33,0.27,0.36,-0.09,108
328,"3-chloro-1-pyrroline-2,5-dione",0.47,0.46,0.47,-0.01,108
329,3-pyridazinyl,0.28,0.48,0.21,0.27,61
330,"3,4-CH=CHCH=CH-",0.04,0.04,0.07,-0.03,183
331,C(Me)(CN)_2,0.60,0.57,0.59,-0.02,74
332,4-pyrimidinyl,0.30,0.63,0.18,0.45,277
333,2-pyrimidinyl,0.23,0.53,0.13,0.40,277
334,5-pyrimidinyl,0.28,0.39,0.25,0.14,277
335,2-furyl,0.06,0.02,0.10,-0.08,114
336,2-thienyl,0.09,0.05,0.13,-0.08,159
337,3-thienyl,0.03,-0.02,0.08,-0.10,159
338,2-selenienyl,0.06,0.04,0.10,-0.06,84
339,2-tellurienyl,0.06,0.03,0.10,-0.07,84
340,1-pyrryl,0.47,0.37,0.50,-0.13,93
341,"1-pyrroline-2,5-dione",0.34,0.31,0.36,-0.05,108
342,CH=CHCOMe,0.21,-0.01,0.31,-0.32,155
343,I(OCOMe)_2,0.85,0.88,0.80,0.08,110
344,N(COMe)_2,0.35,0.33,0.36,-0.03,74
345,cyclobutyl,-0.05,-0.14,0.02,-0.16,85
346,COCHMe_2,0.38,0.47,0.35,0.12,"74,119"
347,(CH_2)_4,-0.48,-0.48,-0.40,-0.08,87
348,NHCOCH(Me)_2,0.11,-0.10,0.21,-0.31,156
349,C(Me)_3,-0.10,-0.20,-0.02,-0.18,183
350,CH(Me)Et,-0.08,-0.12,-0.02,-0.10,"74,87"
351,CH_2_CH(Me)_2,-0.07,-0.12,-0.01,-0.11,"176,87"
352,(CH_2)_3_CH_3,-0.08,-0.16,-0.01,+.15,"174, 87"
353,O(CH_2)_3CH_3,0.10,-0.32,0.29,-0.61,183
354,CH_2_C(OH)Me_2,-0.16,-0.17,-0.11,-0.06,"74,102"
355,C(OMe)_3,-0.03,-0.04,0.01,-0.05,74
356,AsEt_2,0.22,0.00,0.32,-0.32,77
357,As(O)Et_2,0.57,0.44,0.60,-0.16,77
358,As(S)Et_2,0.52,0.44,0.54,-0.10,77
359,NH(CH_2)_3_CH_3,-0.34,-0.51,-0.21,-0.30,"87,85"
360,N(Et)_2,-0.23,-0.72,0.01,-0.73,"113,82"
361,PO(Et)_2,0.37,0.47,0.33,0.14,79
362,N=NPO(OEt)_2,(0.16),0.74,(-0.05),(0.79),72
363,PO(OEt)_2,0.55,0.60,0.52,0.08,143
364,P(Et)_2,0.10,0.13,0.11,0.02,124
365,P(S)Et_2,0.39,0.46,0.36,0.10,79
366,CH_2_N(Me)_3+,0.40,0.44,0.38,0.06,74
367,CH_2_CH_2_NH(Me)_2+,0.24,0.14,0.29,-0.15,74
368,CH_2_OSi(CH_3)_3,-0.04,-0.05,0.00,-0.05,74
369,CH_2_Si(Me)_3,-0.16,-0.21,-0.09,-0.12,183
370,PO(N(Me)_2)_2,0.30,0.40,0.27,0.13,78
371,P(N(Me)_2)_2,0.18,0.25,0.17,0.08,164
372,2-(methylcarbonyl)carboran-1-yl,0.40,0.63,0.31,0.32,111
373,2[(carbonyloxy)methyl]carboran-1-yl,0.70,0.74,0.66,0.08,111
374,"CH_2_-1-(1,2-(BH)_10_-C_2_Me)",0.10,0.11,0.12,-0.01,67
375,C(CN)=C(CN)_2,0.77,0.98,0.65,0.33,"74, 165"
376,2-(5-cyanofuryl),0.25,0.10,0.32,-0.22,"94,95"
377,2-(5-cormylfuryl),0.22,-0.05,0.34,-0.39,"94,95"
378,2-pyridyl,0.33,0.17,0.40,-0.23,93
379,3-pyridyl,0.23,0.25,0.24,0.01,71
380,4-pyridyl,0.27,0.44,0.21,0.23,71
381,"2-(4,6-dimethyl-s-triazinyl)",0.25,0.39,0.21,0.18,121
382,1-cyclopentenyl,-0.06,-0.05,-0.03,-0.02,127
383,CH=CHCOOEt,0.19,0.03,0.27,-0.24,155
384,cyclopentyl,-0.05,-0.14,0.02,-0.16,85
385,COC(Me)_3,0.27,0.32,0.26,0.06,"74,119"
386,NHCO_2_(CH_2)_3CH_3,0.06,-0.05,0.13,-0.18,126
387,C(Et)(Me)_2,-0.06,-0.18,0.03,-0.21,85
388,CH_2_C(Me)_3,-0.05,-0.17,0.03,-0.14,85
389,(CH_2)_4_CH_3,-0.08,-0.15,-0.01,-0.14,174
390,O(CH_2)_4_CH_3,0.10,(-0.34),0.29,(-0.63),183
391,CH_2_PO(OEt)_2,0.12,0.06,0.17,-0.11,85
392,CH_2_CH_2_N(Me)_3+,0.16,0.13,0.19,-0.06,"74,189"
393,CH_2_CH_2_Si(Me)_3,-0.16,-0.17,-0.11,-0.06,"74, 132"
394,Si(Me)_2_OSi(Me)_3,0.00,-0.01,0.04,-0.05,160
395,C_6_Cl_5,0.25,0.24,0.27,-0.03,151
396,C_6_F5,0.26,0.27,0.27,0.00,151
397,P(O)(C_3_F_7)_2,0.95,1.10,0.84,0.26,64
398,OP(O)(C_3_F_7)_2,0.66,0.56,0.67,-0.11,64
399,NHP(O)(C_3F_7)_2,0.28,0.18,0.33,-0.15,64
400,CH__Co(CN)_5_^3-,-0.53,-0.68,-0.39,-0.29,150
401,CH_2_Mn(CO)_5,-0.14,-0.44,0.02,-0.46,150
402,"C_6_H_2-2,4,6-(NO_2)_3",0.26,0.30,0.26,0.04,170
403,C_6_H_4-3-Br,0.09,0.08,0.12,-0.04,161
404,C_6_H_4-4-Br,0.15,0.12,0.18,-0.06,85
405,C_6_H_4-3-Cl,0.15,0.10,0.19,-0.09,85
406,C_6_H_4-4-Cl,0.15,0.12,0.18,-0.06,85
407,C_6_H_4-3-F,0.15,0.10,0.19,-0.09,85
408,C_6_H_4-4-F,0.12,0.06,0.17,-0.11,85
409,OC_6_H_4-4-F,-0.08,-0.10,-0.03,-0.07,106
410,C_6_H_4-3-I,0.13,0.06,0.18,-0.12,85
411,C_6_H_4-4-I,0.14,0.10,0.18,-0.08,85
412,C_6_H_4-3-NO_2,0.21,0.20,0.23,-0.03,85
413,C_6_H_4-4-NO_2,0.25,0.26,0.26,0.00,85
414,SC_6_H_4-4-NO_2,0.32,0.24,0.36,-0.12,85
415,SOC_6_H_4-4-NO_2,0.58,0.60,0.55,0.05,85
416,2-benzotriazolyl,0.49,0.51,0.47,0.04,74
417,C_6_H_5,0.06,-0.01,0.12,-0.13,183
418,N(O)=NS)_2_C_6_H_5,0.69,0.79,0.62,0.17,281
419,N=NC_6_H_5,0.32,0.39,0.30,0.09,175
420,OC_6_H_5,0.25,-0.03,0.37,-0.40,"183,87"
421,SOC_6_H_5,0.50,0.44,0.51,-0.07,85
422,2-(5-acetylguryl),0.24,0.08,0.31,-0.23,"94,95"
423,2-(6-methylpyronyl),0.38,0.43,0.36,0.07,115
424,SO_2_C_6_H_5,0.62,0.68,0.58,0.10,85
425,SC_6_H_5,0.36,0.33,0.37,-0.04,156
426,SC_6H_5,0.23,0.07,0.30,-0.23,85
427,NHC_6H_5,-0.02,-0.56,0.22,-0.78,"173,85"
428,HNSO_2C_6H_5,0.16,0.01,0.24,-0.23,156
429,SO_2NHC_6H_5,0.56,0.65,0.51,0.14,74
430,2-(5-ethylfuryl),0.09,-0.13,0.20,-0.33,"94,95"
431,"1-(2,5-dimethylpyrryl)",0.49,0.38,0.52,-0.14,93
432,1-cyclohexenyl,-0.10,-0.08,-0.07,-0.01,127
433,cyclohexyl,-0.05,-0.15,0.03,-0.18,85
434,N(C_3H_7)_2,-0.26,-0.93,0.06,-0.99,113
435,(CH_2)_4NMe_2,-0.08,-0.16,-0.01,-0.15,74
436,PO(isopropyl)_2,0.37,0.41,0.36,0.05,79
437,P(isopropyl)_2,0.02,0.06,0.04,0.02,69
438,P(O)(OPr)_2,0.38,0.50,0.33,0.17,152
439,Ge(Et)_3,0.00,0.00,0.03,-0.03,"74,183"
440,(CH_2)_3N(Me)_3+,0.06,-0.01,0.12,-0.13,74
441,Si(OEt)_3,0.02,0.08,0.03,0.05,74
442,P(Et)_3+,0.99,0.98,0.94,0.04,78
